province,ID,year,quarter,pop_dens,literacy,in_migration,pop,urban_rural_ratio,cases,incidence,diff
binh thuan,47,2012,4,152.26,93.3,2.3,1189590,0.637290794979079,299,25.1347102783312,-0.128279883381924
binh thuan,47,2014,4,153.24,93,2.4,1197260,0.633057806148894,261,21.7997761555552,-0.181818181818182
binh thuan,47,2014,3,153.24,93,2.4,1197260,0.633057806148894,319,26.6441708567897,-0.121212121212121
binh thuan,47,2013,3,152.91,93.9,5.3,1194660,0.634049595820054,284,23.7724540873554,-0.13677811550152
binh thuan,47,2013,2,152.91,93.9,5.3,1194660,0.634049595820054,329,27.5392161786617,-0.0351906158357771
binh thuan,47,2012,2,152.26,93.3,2.3,1189590,0.637290794979079,400,33.6250304726839,0.098901098901099
binh thuan,47,2011,2,151.12,93.9,2.1,1180680,0.640562472209871,328,27.7806010095877,0.0718954248366013
binh thuan,47,2014,2,153.24,93,2.4,1197260,0.633057806148894,363,30.319228906002,0.156050955414013
binh thuan,47,2014,1,153.24,93,2.4,1197260,0.633057806148894,314,26.2265506239246,0.0272724907664851
binh thuan,47,2015,1,154.28,93.3,1,1205400,0.627599243856333,285,23.6436037829766,0.0845801174408647
binh thuan,47,2013,1,152.91,93.9,5.3,1194660,0.634049595820054,341,28.5436860696767,0.135628211091195
binh thuan,47,2011,1,151.12,93.9,2.1,1180680,0.640562472209871,306,25.9172680150422,0
binh thuan,47,2013,4,152.91,93.9,5.3,1194660,0.634049595820054,305,25.5302763966317,0.0739436619718309
ca mau,77,2015,1,226.54,95.6,0.5,1199500,0.284918594687232,337,28.0950395998333,0.282693454338547
ca mau,77,2014,3,226.77,96,2.8,1200740,0.282488651535381,377,31.3973049952529,0.132132132132132
ca mau,77,2013,4,227.02,95.5,2.9,1202070,0.280146111330018,315,26.2047967256483,0.0430463576158941
ca mau,77,2013,2,227.02,95.5,2.9,1202070,0.280146111330018,310,25.7888475712729,0.235059760956175
ca mau,77,2014,1,226.77,96,2.8,1200740,0.282488651535381,264,21.9864416942885,-0.16097644547767
ca mau,77,2013,3,227.02,95.5,2.9,1202070,0.280146111330018,302,25.1233289242723,-0.0258064516129033
ca mau,77,2015,2,226.54,95.6,0.5,1199500,0.284918594687232,336,28.0116715298041,-0.00296735905044505
ca mau,77,2014,2,226.77,96,2.8,1200740,0.282488651535381,333,27.7328980462048,0.261363636363636
ca mau,77,2012,2,227.29,96,2.4,1203460,0.277829687831811,315,26.1745301048643,0.05
ca mau,77,2015,4,226.54,95.6,0.5,1199500,0.284918594687232,317,26.4276781992497,-0.147849462365591
ca mau,77,2013,1,227.02,95.5,2.9,1202070,0.280146111330018,251,20.8806475496435,-0.105728679711957
